config,Avg IFMAP SRAM BW,Avg FILTER SRAM BW,Avg OFMAP SRAM BW,Avg IFMAP DRAM BW,Avg FILTER DRAM BW,Avg OFMAP DRAM BW
128_128_ws,52.30832280452809,21.964528744276397,45.753413454952025,35.4432778702563,20.27538117199448,56.63048915935666
32_32_ws,21.025605207093975,3.6820141252336978,21.14808537922217,18.96167555303185,4.583510498094071,22.87589657896834
16_16_ws,11.919173641537824,1.395862317743402,11.98071542323386,11.233080258168192,2.340492646822757,12.052423227542011
12_12_os,10.20393983338183,10.959541011477432,0.3170439993070587,3.934146520188568,5.68383018698141,2.631030137596239
64_64_os,40.500284860013856,52.58679939793656,5.255056016790603,15.5815694872946,46.227474237495834,18.958818745459933
12_12_ws,9.261401448608035,0.9057167274028092,8.901631063965619,8.929111112588894,1.851513350902084,8.954585900172003
64_64_ws,35.43429061196477,9.359039039925545,36.137178753939395,29.73733857401329,9.750103219633782,40.301480230031245
256_256_is,34.253714688195515,54.58599806820136,25.667262009929978,24.713890123185234,46.16204260965282,46.961364082686245
128_128_os,58.96115695830456,83.39215213474841,11.417147824972782,26.220725306370134,68.80545307650273,41.25580580644359
32_32_os,24.890660451388833,28.53584829623998,1.726236674391078,8.902855704520116,25.734573540321556,8.203661128729797
16_16_os,13.556282955725402,15.035439719073338,0.5439082679633562,4.890170408345255,10.199314995893904,3.6764765142816938
12_12_is,0.7143896147618363,9.769957327417776,8.668997853198949,1.0309310094501292,9.932861537090838,8.742936279667294
64_64_is,9.070366239436352,32.216829280635146,23.031612579678644,4.541018725005015,28.823033618357137,27.084758000944163
256_256_ws,69.4573371220541,42.77871007482348,41.25815709599291,42.882116555559115,37.47282346404487,69.41628517156119
128_128_is,18.56203626678811,44.481381637898984,24.464390102882405,10.977284203108164,38.39406717919445,33.09257429679946
256_256_os,87.26731094897973,117.55254690743617,19.142695329519395,46.343291612477714,86.63436392070452,107.95566021552928
16_16_is,1.1767351436428743,12.436080088029076,11.047281336823348,1.1997605007452143,12.315618345945037,11.149858974776674
32_32_is,3.520047589132752,20.832411873126976,17.60712056305194,2.0333024054551263,19.68728630397102,19.323393627295992
